ID,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,title,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
ID0020,20,57600,Rob Walton & family,78,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,False,M,Director,Arkansas,South,1944,10,27,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0021,21,56700,Alice Walton,73,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,False,F,Philanthropist,Texas,South,1949,10,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0022,22,54400,David Thomson & family,65,Canada,Toronto,Media,Media & Entertainment,Canada,Thomson Reuters Corporation,False,M,Chairman,,,1957,6,12,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
ID0023,23,50100,Michael Dell,58,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,True,M,Chairman and CEO,Texas,South,1965,2,23,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0024,24,47200,Gautam Adani,60,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,,True,M,,,,1962,6,24,180.44,7.7,2611000000000,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
ID0025,25,45100,Phil Knight & family,85,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,True,M,Chairman,Oregon,West,1938,2,24,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0026,26,45000,Zhang Yiming,39,China,Beijing,TikTok,Technology,China,ByteDance,True,M,Founder,,,1984,1,1,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0027,27,42900,Dieter Schwarz,83,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,,False,M,,,,1939,9,24,112.85,1.4,3845630030824,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
ID0028,28,40100,François Pinault & family,86,France,Paris,Luxury goods,Fashion & Retail,France,,True,M,,,,1936,8,21,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
ID0029,29,39100,Klaus-Michael Kuehne,85,Switzerland,Schindellegi,Shipping,Logistics,Germany,,False,M,,,,1937,6,2,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
ID0030,30,38900,Giovanni Ferrero,58,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,,False,M,,,,1964,9,21,117.11,1.4,529606710418,79.7,103.9,81.6,24,55.4,11484055,50.503887,4.469936
ID0031,31,38300,Jacqueline Mars,83,United States,The Plains,"Candy, pet food",Food & Beverage,United States,,False,F,,Virginia,South,1939,10,10,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0032,31,38300,John Mars,87,United States,Jackson,"Candy, pet food",Food & Beverage,United States,,False,M,,Wyoming,South,1935,10,15,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0033,33,38000,Li Ka-shing,94,Hong Kong,,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,True,M,Senior Advisor,,,1928,6,13,,,,,,,,,,,
ID0034,34,35300,Ma Huateng,51,China,Shenzhen,Internet media,Technology,China,Tencent Holdings,True,M,Chairman and CEO,,,1971,10,29,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0035,35,35000,Miriam Adelson & family,77,United States,Las Vegas,Casinos,Gambling & Casinos,United States,,False,F,,Nevada,West,1945,10,10,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0036,35,35000,Ken Griffin,54,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,True,M,Founder & CEO,Florida,South,1968,10,15,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0037,37,34700,Mark Mateschitz,30,Austria,Salzburg,Red Bull,Food & Beverage,Austria,,False,M,,,,1992,5,7,118.06,1.5,446314739528,85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072
ID0038,38,33400,Robin Zeng,54,China,Ningde,Batteries,Automotive,Hong Kong,,True,M,,,,1969,1,1,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0039,39,32600,Tadashi Yanai & family,74,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,,True,M,,,,1949,2,7,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
ID0040,40,32100,Len Blavatnik,65,United Kingdom,London,"Music, chemicals",Diversified,United States,,True,M,,,,1957,6,1,119.62,1.7,2827113184696,60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
ID0041,41,31600,Alain Wertheimer,74,United States,New York,Chanel,Fashion & Retail,France,,False,M,,New York,Northeast,1948,8,28,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0042,41,31600,Gerard Wertheimer,72,United States,New York,Chanel,Fashion & Retail,France,,False,M,,New York,Northeast,1951,1,9,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0043,43,31200,Gianluigi Aponte,82,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,M,,,,1940,6,27,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
ID0044,43,31200,Rafaela Aponte-Diamant,78,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,F,,,,1945,3,26,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
ID0045,45,30200,Colin Zheng Huang,43,China,Shanghai,E-commerce,Technology,China,,True,M,,,,1980,2,2,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0046,46,29700,Reinhold Wuerth & family,87,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,,True,M,,,,1935,4,20,112.85,1.4,3845630030824,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
ID0047,47,29500,Lee Shau Kee,95,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,M,,,,1928,1,29,,,,,,,,,,,
ID0048,48,28500,Jeff Yass,64,United States,Haverford,"Trading, investments",Finance & Investments,United States,,True,M,,Pennsylvania,Northeast,1958,7,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0049,49,28100,Jim Simons,84,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,True,M,Founder,New York,Northeast,1938,4,25,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0050,50,27800,Stephen Schwarzman,76,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,True,M,Chairman and CEO,New York,Northeast,1947,2,14,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0051,51,27400,Susanne Klatten,60,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,,False,F,,,,1962,4,28,112.85,1.4,3845630030824,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
ID0052,52,27000,Gina Rinehart,69,Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,False,F,Executive Chairman,,,1954,2,9,119.8,1.6,1392680589329,113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
ID0053,53,26700,William Ding,51,China,Hangzhou,Online games,Technology,China,,True,M,,,,1971,10,1,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0054,54,26600,Germán Larrea Mota Velasco & family,69,Mexico,Mexico City,Mining,Metals & Mining,Mexico,,False,M,,,,1953,10,26,141.54,3.6,1258286717125,40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
ID0055,55,25600,Shiv Nadar,77,India,Delhi,software services,Technology,India,,True,M,,,,1945,7,18,180.44,7.7,2611000000000,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
ID0056,56,25500,Low Tuck Kwong,74,Indonesia,Jakarta,Coal,Energy,Indonesia,,True,M,,,,1948,4,17,151.18,3,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
ID0057,57,25300,Thomas Peterffy,78,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,,True,M,,Florida,South,1944,9,30,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0058,58,25200,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,,True,M,,,,1972,3,8,114.52,-1.9,421142267938,36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
ID0059,59,24600,Stefan Quandt,56,Germany,Frankfurt,BMW,Automotive,Germany,,False,M,,,,1966,5,9,112.85,1.4,3845630030824,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
ID0060,60,24400,MacKenzie Scott,52,United States,Seattle,Amazon,Technology,United States,,False,F,Philanthropist,Washington,West,1970,4,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0061,61,24200,R. Budi Hartono,82,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,,False,M,,,,1941,1,1,151.18,3,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
ID0062,62,23700,Vladimir Potanin,62,Russia,Moscow,Metals,Metals & Mining,Russia,,True,M,,,,1961,1,3,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
ID0063,63,23500,Jack Ma,58,China,Hangzhou,E-commerce,Technology,China,,True,M,,,,1964,9,10,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0064,64,23400,He Xiangjian & family,80,China,Foshan,Home appliances,Manufacturing,China,,True,M,,,,1942,8,11,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0065,65,23100,Iris Fontbona & family,80,Chile,Santiago,Mining,Metals & Mining,Chile,,False,F,,,,1943,1,1,131.91,2.6,282318159745,88.5,101.4,80,18.2,34,18952038,-35.675147,-71.542969
ID0066,65,23100,Michael Hartono,83,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,,False,M,,,,1939,10,2,151.18,3,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
ID0067,67,22900,James Ratcliffe,70,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,True,M,,,,1953,1,1,119.62,1.7,2827113184696,60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
ID0068,68,22600,Cyrus Poonawalla,81,India,Pune,Vaccines,Healthcare,India,,False,M,,,,1941,5,11,180.44,7.7,2611000000000,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
ID0069,69,22400,Masayoshi Son,65,Japan,Tokyo,"Internet, telecom",Telecom,Japan,SoftBank Group Corp.,True,M,CEO,,,1957,8,11,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
ID0070,70,22100,Vladimir Lisin,66,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,,True,M,,,,1956,5,7,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
ID0071,71,22000,Emmanuel Besnier,52,France,Laval,Cheese,Food & Beverage,France,,False,M,,,,1970,9,18,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
ID0072,72,21600,Abigail Johnson,61,United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,False,F,CEO,Massachusetts,Northeast,1961,12,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0073,72,21600,Leonid Mikhelson & family,67,Russia,Moscow,"Gas, chemicals",Energy,Russia,,True,M,,,,1955,8,11,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
ID0074,74,21200,Lukas Walton,36,United States,Chicago,Walmart,Fashion & Retail,United States,,False,M,,Illinois,Midwest,1986,9,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0075,74,21200,Wang Wei,52,China,Shenzhen,Package delivery,Service,China,,True,M,,,,1970,10,1,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0076,76,21100,Jensen Huang,60,United States,Los Altos,Semiconductors,Technology,United States,Nvidia,True,M,CEO & President,California,West,1963,2,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0077,77,21000,Leonard Lauder,90,United States,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,False,M,Chairman Emeritus,New York,Northeast,1933,3,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0078,77,21000,Takemitsu Takizaki,77,Japan,Osaka,Sensors,Manufacturing,Japan,,True,M,,,,1945,6,10,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
ID0079,79,20900,Alexey Mordashov & family,57,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,,True,M,,,,1965,9,26,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
ID0080,80,20500,Vagit Alekperov,72,Russia,Moscow,Oil,Energy,Russia,,True,M,,,,1950,9,1,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
ID0081,81,20200,"Thomas Frist, Jr. & family",84,United States,Nashville,Hospitals,Healthcare,United States,,True,M,,Tennessee,South,1938,8,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0082,82,19600,Andrew Forrest,61,Australia,Perth,Mining,Metals & Mining,Australia,,True,M,,,,1961,11,18,119.8,1.6,1392680589329,113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
ID0083,83,19100,Ray Dalio,73,United States,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,True,M,Founder & Co-Chief Investment Officer,Connecticut,Northeast,1949,8,8,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0084,84,19000,Eric Li,59,China,Hangzhou,Automobiles,Automotive,China,,True,M,,,,1963,6,1,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0085,84,19000,Wang Wenyin,55,China,Shenzhen,"Mining, copper products",Metals & Mining,China,,True,M,,,,1968,3,1,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0086,86,18900,Eyal Ofer,72,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,,False,M,,,,1950,6,2,,,7184844193,,,,,,38964,43.7384176,7.4246158
ID0087,86,18900,Qin Yinglin,57,China,Nanyang,Pig breeding,Food & Beverage,China,,True,M,,,,1965,4,17,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0088,88,18700,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",Automotive,China,,True,M,,,,1966,2,15,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0089,89,18500,Harold Hamm & family,77,United States,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc.,True,M,Chairman and CEO,Oklahoma,South,1945,12,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0090,89,18500,David Tepper,65,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Appaloosa Management,True,M,President and Founder,Florida,South,1957,9,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0091,89,18500,Gennady Timchenko,70,Russia,Moscow,"Oil, gas",Energy,Russia,,True,M,,,,1952,11,9,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
ID0092,92,18000,Daniel Gilbert,61,United States,Franklin,Quicken Loans,Finance & Investments,United States,,True,M,,Michigan,Midwest,1962,1,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0093,93,17700,Lakshmi Mittal,72,United Kingdom,London,Steel,Metals & Mining,India,ArcelorMittal (ADR),False,M,Chairman and CEO,,,1950,6,15,119.62,1.7,2827113184696,60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
ID0094,94,17500,Steve Cohen,66,United States,Greenwich,Hedge funds,Finance & Investments,United States,Point72 Asset Management,True,M,Founder,Connecticut,Northeast,1956,6,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0095,94,17500,Carl Icahn,87,United States,Indian Creek,Investments,Finance & Investments,United States,Icahn Capital Management,True,M,Founder,Florida,South,1936,2,16,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0096,94,17500,Savitri Jindal & family,73,India,Hisar,Steel,Metals & Mining,India,,False,F,,,,1950,3,20,180.44,7.7,2611000000000,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
ID0097,97,17400,Donald Bren,90,United States,Newport Beach,Real estate,Real Estate,United States,Irvine Company,True,M,Chairman,California,West,1932,5,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0098,97,17400,"John Menard, Jr.",83,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,"Menard, Inc.",True,M,Founder,Wisconsin,Midwest,1940,1,22,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0099,99,17100,Rupert Murdoch & family,92,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,News Corp Class A,False,M,Chairman and CEO,New York,Northeast,1931,3,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0100,100,16700,Vicky Safra & family,70,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,,False,F,,,,1953,1,1,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
ID0101,101,16500,"Theo Albrecht, Jr. & family",72,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,,False,M,,,,1951,1,1,112.85,1.4,3845630030824,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
ID0102,101,16500,Renata Kellnerova & family,55,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,,False,F,,,,1967,7,4,116.48,2.8,246489245495,64.1,100.7,79,14.9,46.1,10669709,49.817492,15.472962
ID0103,103,16300,Li Xiting,72,China,Shenzhen,medical devices,Healthcare,Singapore,,True,M,,,,1951,1,1,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0104,104,16200,Stefan Persson,75,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,Hennes & Mauritz Unsponsored ADR,False,M,Chairman,,,1947,10,4,110.51,1.8,530832908738,67,126.6,82.5,27.9,49.1,10285453,60.128161,18.643501
ID0105,104,16200,Eric Schmidt,67,United States,Atherton,Google,Technology,United States,,True,M,,California,West,1955,4,27,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0106,106,16000,Michael Platt,55,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,BlueCrest Capital Management,True,M,Founder,,,1968,3,18,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
ID0107,107,15900,Pang Kang,67,China,Foshan,Soy sauce,Food & Beverage,China,,True,M,,,,1956,1,19,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0108,108,15800,Karl Albrecht Jr. & family,,Germany,,Supermarkets,Fashion & Retail,Germany,,False,M,,,,,,,112.85,1.4,3845630030824,70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
ID0109,108,15800,Beate Heister,,,,Supermarkets,Fashion & Retail,Germany,,False,F,,,,,,,,,,,,,,,,,
ID0110,108,15800,Jorge Paulo Lemann & family,83,Switzerland,Zurich,Beer,Food & Beverage,Brazil,,True,M,"Investor, Philanthropist",,,1939,8,26,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
ID0111,108,15800,Peter Woo,76,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,False,M,,,,1946,9,5,,,,,,,,,,,
ID0112,112,15600,Dilip Shanghvi,67,India,Mumbai,Pharmaceuticals,Healthcare,India,,True,M,,,,1955,10,1,180.44,7.7,2611000000000,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
ID0113,113,15500,Robert Pera,45,United States,San Jose,Wireless networking,Technology,United States,Ubiquiti,True,M,Chief Executive Officer,California,West,1978,3,10,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
ID0114,114,15300,Radhakishan Damani,68,India,Mumbai,"Retail, investments",Fashion & Retail,India,,True,M,,,,1955,1,1,180.44,7.7,2611000000000,28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
ID0115,115,15200,Huang Shilin,56,China,Ningde,Batteries,Automotive,China,,True,M,,,,1967,1,1,125.08,2.9,19910000000000,50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
ID0116,116,14900,Dhanin Chearavanont,83,Thailand,Bangkok,Diversified,Diversified,Thailand,,False,M,,,,1939,4,19,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
ID0117,116,14900,David Green & family,81,United States,Oklahoma City,Retail,Fashion & Retail,United States,Hobby Lobby,True,M,CEO,Oklahoma,South,1941,11,13,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
