BattleId;losepick1;losepick2;losepick3;losepick4;losepick5
246454081349651541;Gatotkaca;Lesley;Minsitthar;Silvanna;Valir
244615186806899654;Alucard;Atlas;Chou;Vale;Wanwan
677551558145768971;Aurora;Belerick;Khaleed;Lesley;Martis
676704264177481777;Aldous;Aurora;Brody;Hayabusa;Kaja
675313764220431830;Bane;Melissa;Nana;Saber;Selena
671630288598222271;Atlas;Cecilion;Hanabi;Jawhead;Ling
671133829033508899;Benedetta;Cyclops;Freya;Harley;Miya
615973967777897156;Aldous;Clint;Franco;Martis;Valentina
287425127300819788;Aurora;Karrie;Martis;Minsitthar;X.Borg
286798869529453543;Dyrroth;Hanabi;Hilda;Lancelot;Nana
286053164422618271;Claude;Dyrroth;Edith;Fredrinn;Harley
285491283916052461;Belerick;Dyrroth;Lesley;Minsitthar;Selena
284643341407703466;Belerick;Brody;Hilda;Martis;Xavier
283789038052789283;Aurora;Barats;Irithel;Minsitthar;Selena
283024830226843539;Badang;Lancelot;Lesley;Lolita;Pharsa
282018570928996860;Atlas;Fredrinn;Lesley;Valentina;Yu Zhong
281004146898320563;Claude;Franco;Sun;Terizla;Xavier
279634056625862122;Aamon;Dyrroth;Irithel;Nana;Tigreal
649495238335343544;Hanzo;Layla;Lolita;Terizla;Xavier
601920362337512020;Grock;Joy;Saber;Valentina;Wanwan
679431293531007478;Argus;Edith;Ling;Melissa;Yve
220568300570223467;Beatrix;Fanny;Lolita;Phoveus;Valentina
678660939606857751;Argus;Clint;Hanzo;Lolita;Pharsa
678366884670935634;Fanny;Kagura;Khufra;Lapu-Lapu;Melissa
678046132218301706;Atlas;Beatrix;Benedetta;Karina;Pharsa
677680295493961688;Angela;Arlott;Beatrix;Martis;Xavier
677294152164246277;Aamon;Argus;Edith;Karrie;Xavier
676574002112822062;Hilda;Lancelot;Lesley;Minsitthar;Pharsa
217903264773109454;Clint;Lancelot;Layla;Vexana;Yi Sun-shin
217313020302520664;Edith;Franco;Kadita;Ling;Moskov
287800640585000357;Dyrroth;Hylos;Minsitthar;Moskov;Vale
647198783745194887;Argus;Ling;Luo Yi;Minotaur;Wanwan
658834601769333172;Beatrix;Benedetta;Edith;Esmeralda;Yve
645241330925201741;Chou;Claude;Khufra;Nana;Pharsa
644525295452447421;Chou;Edith;Melissa;Terizla;Valentina
656283910886546751;Aldous;Bruno;Lylia;Paquito;Selena
235066078641853494;Argus;Estes;Harley;Lesley;Pharsa
684440101571314202;Alice;Irithel;Khufra;Lancelot;Valentina
224855562694737089;Argus;Atlas;Irithel;Jawhead;Vale
681595256970552810;Akai;Badang;Moskov;Natalia;Pharsa
681238212044267823;Argus;Beatrix;Franco;Martis;Valentina
680797252046953316;Brody;Estes;Ling;Minsitthar;Valentina
680322112699897168;Johnson;Khufra;Lapu-Lapu;Moskov;Pharsa
679854442300968817;Beatrix;Chou;Fredrinn;Masha;Valentina
679565348052274144;Khufra;Martis;Melissa;X.Borg;Xavier
678981060701324444;Harley;Lapu-Lapu;Lesley;Minsitthar;Valentina
225669678042790898;Akai;Aldous;Claude;Lapu-Lapu;Pharsa
225152323462182982;Benedetta;Grock;Ling;Melissa;Pharsa
224485607098889190;Akai;Claude;Khufra;Ling;Pharsa
223006523441359660;Claude;Harith;Kaja;Minsitthar;Pharsa
221948514082563454;Aldous;Hanzo;Johnson;Kadita;Wanwan
221206558482178481;Arlott;Claude;Diggie;Ling;Valentina
664641663843503802;Claude;Fanny;Grock;Kaja;Pharsa
663923850254289158;Akai;Lapu-Lapu;Melissa;Natalia;Valentina
663378668580570203;Akai;Lesley;Minsitthar;Natalia;Valentina
662838061047021392;Helcurt;Kaja;Karrie;Lapu-Lapu;Valentina
662191548209887334;Aldous;Hanzo;Khufra;Melissa;Valentina
242371349863076174;Beatrix;Franco;Harley;Lapu-Lapu;Valentina
241352635160070559;Estes;Fanny;Grock;Moskov;Yve
240810532977903002;Faramis;Floryn;Freya;Ling;Wanwan
240142601138864302;Faramis;Hanzo;Melissa;Valentina;Yu Zhong
239364486208813816;Fanny;Grock;Minsitthar;Wanwan;Yve
238710345509762601;Alice;Estes;Lapu-Lapu;Nana;Wanwan
238117128921805261;Beatrix;Hayabusa;Johnson;Minsitthar;Valentina
236962839281133802;Grock;Hanabi;Valentina;Yi Sun-shin;Yu Zhong
236179905397777030;Beatrix;Hanzo;Khufra;Nana;Ruby
235557182384495950;Beatrix;Dyrroth;Estes;Pharsa;Yi Sun-shin
669932930408201313;Aamon;Chou;Estes;Moskov;Odette
669510932691498911;Angela;Fredrinn;Gloo;Irithel;Yve
668911621544948080;Gord;Gusion;Khufra;Lesley;Minsitthar
677770446858411939;Beatrix;Layla;Silvanna;Valentina;Yin
591345521495380110;Beatrix;Esmeralda;Tigreal;Xavier;Yin
590680523119004760;Beatrix;Joy;Martis;Pharsa;Selena
589994896014706718;Brody;Paquito;Pharsa;Thamuz;Valir
589145188274799350;Claude;Gloo;Pharsa;Tigreal;Yi Sun-shin
272722968914605620;Clint;Edith;Franco;Lancelot;Xavier
271639378730594422;Beatrix;Dyrroth;Lolita;Martis;Yve
678752980756738699;Badang;Brody;Fredrinn;Tigreal;Zhask
678248034336648438;Clint;Fanny;Franco;Jawhead;Lylia
669731874397852884;Franco;Fredrinn;Joy;Moskov;Yve
669410825592475754;Brody;Esmeralda;Franco;Martis;Yve
668919043247147630;Cecilion;Julian;Moskov;Natalia;Yi Sun-shin
668302169979323331;Aldous;Beatrix;Cecilion;Franco;Harley
667703455833226756;Cyclops;Hanabi;Harley;Julian;Minsitthar
667124386867542265;Brody;Harley;Lapu-Lapu;Lunox;Minsitthar
666573011850982549;Beatrix;Franco;Grock;Harley;Ling
665881449101881211;Brody;Hilda;Paquito;Selena;Xavier
665358412279540640;Chou;Cyclops;Hanabi;Sun;Xavier
664644038959130214;Claude;Floryn;Harley;Roger;Valentina
663950491935138195;Brody;Gord;Harley;Lolita;Terizla
588805847204717070;Brody;Khufra;Nana;Roger;Xavier
703610993041690411;Beatrix;Franco;Lancelot;Terizla;Valentina
703189493541194445;Estes;Freya;Lancelot;Lesley;Xavier
702529013470413808;Brody;Edith;Hanzo;Khufra;Lunox
645407404427479154;Fredrinn;Grock;Lesley;Lunox;Pharsa
638640863841244491;Angela;Beatrix;Benedetta;Granger;Pharsa
638192821442859198;Franco;Hilda;Lesley;Martis;Vale
637661765916576396;Fanny;Franco;Natan;Valir;Zilong
615282727151546395;Bruno;Chou;Estes;Martis;Valentina
610894846828024422;Angela;Argus;Arlott;Moskov;Yve
610135032753622102;Alice;Alpha;Angela;Kimmy;Miya
609474080236439147;Joy;Lesley;Pharsa;Selena;X.Borg
606620241971963491;Brody;Eudora;Fredrinn;Kaja;Ruby
606264030269334145;Arlott;Claude;Khufra;Lancelot;Zhask
605728705545559211;Aamon;Atlas;Badang;Clint;Zhask
605252118794524554;Franco;Hanabi;Lapu-Lapu;Saber;Valentina
604700838267244993;Aldous;Atlas;Brody;Kagura;Martis
603306103472440327;Atlas;Irithel;Kimmy;Minsitthar;Vexana
267470464431101934;Beatrix;Gloo;Harley;Minotaur;Paquito
586773438615716916;Aamon;Chou;Khufra;Moskov;Valentina
586537339968487221;Baxia;Claude;Jawhead;Kadita;Valentina
586331898797816391;Aamon;Chou;Eudora;Lesley;Lolita
585895040494267496;Bane;Hanabi;Kaja;Lancelot;Nana
584979795848380823;Brody;Kaja;Pharsa;X.Borg;Yi Sun-shin
584807662149090174;Aurora;Khaleed;Lancelot;Lolita;Melissa
247001908723726666;Aldous;Bane;Franco;Irithel;Vexana
643424851818851105;Clint;Kagura;Khufra;Lancelot;Paquito
675724496238401348;Cecilion;Claude;Esmeralda;Kaja;Martis
231006424016202383;Arlott;Granger;Harley;Kimmy;Rafaela
283456805153071680;Fanny;Karrie;Minsitthar;Vexana;Yu Zhong
282978844012502482;Baxia;Esmeralda;Jawhead;Miya;Valentina
282341586829891597;Aamon;Bane;Joy;Minsitthar;Moskov
280682866165205382;Edith;Kaja;Roger;Valentina;Wanwan
279999588408017898;Aamon;Diggie;Irithel;Valir;Xavier
279343068297084595;Cecilion;Jawhead;Kaja;Layla;Masha
611973102662882089;Dyrroth;Gloo;Kadita;Khufra;Moskov
271023239903346490;Barats;Brody;Change;Chou;Hilda
270182139277899618;Edith;Leomord;Melissa;Pharsa;Yu Zhong
683075431549778284;Claude;Faramis;Harith;Lapu-Lapu;Zhask
642636347362910625;Diggie;Grock;Lesley;Martis;Valentina
636425377976277475;Kadita;Kimmy;Melissa;Thamuz;Yve
635925924819358575;Beatrix;Hayabusa;Kadita;Lapu-Lapu;Xavier
635522721879543300;Gusion;Hayabusa;Hilda;Valentina;Wanwan
667950652677236904;Beatrix;Khufra;Lapu-Lapu;Wanwan;Yve
619914372639157590;Estes;Lancelot;Terizla;Valentina;Wanwan
284195286124915042;Claude;Hayabusa;Kadita;Kaja;Terizla
608262560156771297;Franco;Fredrinn;Jawhead;Kimmy;Xavier
604067708548411465;Alucard;Cecilion;Faramis;Lesley;Minsitthar
262755221700078307;Brody;Kagura;Khufra;Lapu-Lapu;Yi Sun-shin
718774422324896965;Atlas;Claude;Martis;Terizla;Yve
238874516339349888;Estes;Fredrinn;Popol and Kupa;Uranus;Vale
587292081686046268;Beatrix;Hanzo;Kaja;Lapu-Lapu;Pharsa
586655902540226957;Fredrinn;Hayabusa;Kadita;Melissa;Yve
281858974239411704;Franco;Fredrinn;Joy;Kagura;Moskov
704202749340535191;Alucard;Franco;Hanabi;Luo Yi;X.Borg
640502362797115643;Badang;Fanny;Layla;Lunox;Minsitthar
640073858204959802;Kaja;Lapu-Lapu;Lesley;Martis;Valentina
639631884595363663;Akai;Gloo;Hayabusa;Lesley;Odette
639175883622578738;Faramis;Hayabusa;Karrie;Khufra;Minsitthar
638588701463671706;Aamon;Brody;Chou;Gloo;Lunox
237496282809232674;Beatrix;Fanny;Johnson;Julian;Xavier
236756285713934144;Khaleed;Khufra;Lancelot;Layla;Xavier
236006508978102548;Atlas;Bane;Cecilion;Claude;Lancelot
675716206951520034;Brody;Fanny;Layla;Rafaela;Valentina
671646592294541363;Alice;Diggie;Lesley;Minsitthar;Pharsa
630629950970482323;Argus;Claude;Julian;Minsitthar;Xavier
630303039534746028;Arlott;Atlas;Brody;Dyrroth;Xavier
629729184659358241;Alpha;Hayabusa;Kadita;Minsitthar;Wanwan
224622036735046853;Estes;Fredrinn;Valentina;Wanwan;Zilong
628065842609860893;Atlas;Hayabusa;Layla;Valentina;Zilong
287213101945782844;Claude;Grock;Lesley;Tigreal;Valentina
620939070231607519;Kagura;Lesley;Saber;Selena;Terizla
284787076783730494;Dyrroth;Kimmy;Lolita;Minsitthar;Wanwan
284315631108549270;Brody;Kagura;Khufra;Lapu-Lapu;Martis
283687092709549161;Beatrix;Granger;Khufra;Minsitthar;Yve
243179151607076785;Kaja;Ling;Melissa;Terizla;Xavier
242542435590345379;Brody;Johnson;Kadita;Lancelot;Yu Zhong
241829621343063344;Aamon;Claude;Franco;Harley;Lapu-Lapu
677973427013941141;Benedetta;Claude;Edith;Hanzo;Lunox
677616369202754266;Aamon;Julian;Khufra;Melissa;Yu Zhong
637564111245404129;Freya;Khufra;Lylia;Martis;Wanwan
637174708035511091;Atlas;Claude;Fredrinn;Kimmy;Valentina
233477099658267269;Beatrix;Freya;Julian;Khufra;Nana
233068137167308386;Alucard;Brody;Faramis;Harley;Khaleed
634514177659092724;Hayabusa;Lapu-Lapu;Minsitthar;Pharsa;Wanwan
221579400298177431;Alpha;Arlott;Beatrix;Kadita;Lunox
622357500360983921;Brody;Fanny;Kagura;Minsitthar;Selena
662919343303098395;Edith;Fredrinn;Nana;Natan;Rafaela
662378611215497860;Chou;Harley;Hayabusa;Khufra;Melissa
284125776374196402;Diggie;Hayabusa;Moskov;Valentina;Yin
278982385533500400;Clint;Grock;Irithel;Kagura;Minsitthar
656009810370668933;Atlas;Chou;Clint;Fanny;Valentina
655552658346648522;Aldous;Brody;Jawhead;Lunox;Selena
655274735307890773;Brody;Edith;Minotaur;Xavier;Yi Sun-shin
654782188458383893;Beatrix;Helcurt;Mathilda;Paquito;Yve
243389325831531170;Clint;Diggie;Freya;Lancelot;Odette
242600344634221929;Aamon;Beatrix;Freya;Kadita;Xavier
705148922046144177;Hanabi;Joy;Mathilda;Pharsa;Yi Sun-shin
704424704660690813;Claude;Edith;Hilda;Martis;Vale
703852030901309863;Akai;Brody;Edith;Kadita;Pharsa
236994669283590286;Clint;Franco;Harley;Nana;Terizla
236154788428856034;Lapu-Lapu;Martis;Melissa;Tigreal;Xavier
235624862478972723;Aamon;Claude;Edith;Mathilda;Valir
234793859321639236;Claude;Fredrinn;Gloo;Gusion;Kaja
700253032990845926;Beatrix;Edith;Kagura;Luo Yi;Yu Zhong
693392183512702440;Aulus;Bruno;Estes;Moskov;Nana
692733863810471840;Gatotkaca;Kagura;Lancelot;Mathilda;Moskov
692243666308076370;Argus;Granger;Harley;Kagura;Minotaur
691422060539186300;Edith;Kagura;Martis;Saber;Selena
690886417987831884;Akai;Badang;Beatrix;Mathilda;Valentina
689946919661633859;Khufra;Lapu-Lapu;Martis;Natan;Valentina
689394144485735745;Brody;Diggie;Hayabusa;Jawhead;Kagura
643079240095266693;Hanabi;Karina;Natalia;Xavier;Yu Zhong
286233544459445513;Aldous;Angela;Gloo;Vexana;Wanwan
285362413422665684;Argus;Beatrix;Kagura;Karina;Natalia
239957569652784981;Alucard;Claude;Faramis;Khufra;Lapu-Lapu
239391291099708202;Angela;Bruno;Karrie;Minsitthar;Pharsa
238549602063742203;Bane;Franco;Lancelot;Moskov;Valentina
237904553810456630;Aldous;Hayabusa;Kaja;Kimmy;Moskov
237323938656545741;Aldous;Diggie;Fredrinn;Lylia;Moskov
236810926287873970;Badang;Claude;Hayabusa;Lolita;Pharsa
235929676308144240;Badang;Gusion;Hanzo;Kaja;Moskov
632628845929925874;Badang;Chou;Ling;Lunox;Moskov
632498326168766046;Arlott;Freya;Khufra;Vexana;Wanwan
632375258175864732;Franco;Gloo;Hayabusa;Karrie;Pharsa
632202402922067754;Khufra;Lancelot;Lapu-Lapu;Moskov;Xavier
632087327863304771;Alice;Arlott;Grock;Julian;Moskov
631938258138393785;Alice;Beatrix;Grock;Kagura;Lancelot
631761966910760705;Aamon;Claude;Dyrroth;Faramis;Kagura
631592985717465652;Atlas;Chou;Granger;Valentina;Wanwan
631400502463126880;Faramis;Franco;Fredrinn;Kimmy;Minsitthar
631127355428001654;Argus;Franco;Grock;Melissa;Valentina
630814355391336876;Brody;Karina;Khufra;Lapu-Lapu;Yve
275773405013255282;Beatrix;Faramis;Hylos;Joy;Minotaur
275147499429208051;Esmeralda;Julian;Kaja;Moskov;Pharsa
478597209727930993;Irithel;Khufra;Lancelot;Minsitthar;Xavier
478484651520003484;Arlott;Beatrix;Grock;Minsitthar;Valentina
455613465337229958;Khufra;Lylia;Martis;Melissa;Minsitthar
455501388165639576;Brody;Dyrroth;Hayabusa;Lunox;Minotaur
455390612369139852;Claude;Gloo;Khufra;Paquito;Valentina
455285969785938800;Lolita;Minotaur;Miya;Yu Zhong;Yve
455154990463278189;Beatrix;Kagura;Martis;Minotaur;Minsitthar
454754819770367499;Hanabi;Lancelot;Minotaur;Minsitthar;Vexana
454696751812523895;Belerick;Kadita;Lapu-Lapu;Martis;Melissa
454553823890842721;Kagura;Martis;Melissa;Minotaur;Thamuz
454521654585794579;Aamon;Cecilion;Gloo;Lesley;Minsitthar
454491443785833487;Aamon;Clint;Minotaur;Minsitthar;Vale
454425679246595095;Franco;Kimmy;Lylia;Terizla;Yin
454362873939823988;Cecilion;Hilda;Kaja;Layla;Saber
454272254424843597;Brody;Faramis;Franco;Lancelot;Terizla
454186273474543326;Beatrix;Gloo;Khufra;Lunox;Martis
454116682119445090;Fredrinn;Minsitthar;Natan;Terizla;Valir
454038943211386347;Brody;Helcurt;Khaleed;Minsitthar;Valir
453953078225203570;Hanabi;Hilda;Martis;Minotaur;Vexana
453792102850947609;Lancelot;Lolita;Melissa;Minsitthar;Yve
262185232295435881;Aldous;Grock;Hanzo;Valentina;Wanwan
261797224949914100;Arlott;Beatrix;Franco;Ling;Valentina
260999980235526722;Aamon;Aldous;Grock;Harith;Wanwan
260220503800843266;Akai;Claude;Grock;Minsitthar;Valentina
259144747637179541;Chou;Kaja;Martis;Pharsa;Yu Zhong
258280754836045634;Baxia;Claude;Kaja;Lapu-Lapu;Pharsa
257346998881122803;Benedetta;Grock;Khufra;Moskov;Valentina
256521480397026692;Chou;Claude;Lancelot;Phoveus;Valentina
255103140461964877;Claude;Grock;Lancelot;Lancelot;Valentina
239938963854458674;Brody;Franco;Lancelot;Minsitthar;Pharsa
678122080127023507;Akai;Beatrix;Grock;Minsitthar;Valentina
632420617325478406;Badang;Brody;Franco;Hayabusa;Lunox
632322309819038938;Arlott;Beatrix;Franco;Martis;Pharsa
598948360934210304;Karrie;Lolita;Martis;Xavier;Yin
598117100078839146;Gloo;Hanabi;Johnson;Lancelot;Valentina
597363943203745916;Brody;Gatotkaca;Lancelot;Minsitthar;Xavier
596102700287469648;Franco;Lancelot;Lesley;Martis;Valir
595212864668115572;Franco;Irithel;Kagura;Lancelot;Minsitthar
594160430176869127;Dyrroth;Franco;Lapu-Lapu;Pharsa;Wanwan
593406912524522789;Bane;Beatrix;Chou;Lancelot;Lolita
592812420331278333;Aldous;Khufra;Martis;Melissa;Valir
592149002502867392;Claude;Grock;Martis;Minsitthar;Zhask
606442224167061706;Fanny;Franco;Jawhead;Karrie;Xavier
605683651338208208;Aldous;Cecilion;Hayabusa;Kadita;Karrie
604834544893722131;Dyrroth;Franco;Hanabi;Martis;Vale
604168472775522631;Faramis;Joy;Karrie;Lancelot;Valir
603104136929898736;Aldous;Change;Claude;Granger;Khufra
645689837181284764;Claude;Jawhead;Joy;Khufra;Pharsa
644695041151150802;Atlas;Granger;Joy;Lesley;Yve
643979512484537750;Aldous;Claude;Fanny;Khufra;Pharsa
643343728475709578;Chou;Fanny;Joy;Miya;Xavier
642843029778275394;Aldous;Chou;Esmeralda;Hanabi;Nana
586529338444172334;Aamon;Badang;Brody;Kagura;Lolita
586018679717578517;Atlas;Gloo;Julian;Kadita;Natan
585550738735710833;Atlas;Claude;Grock;Harley;Yin
682552313122799256;Badang;Diggie;Lunox;Martis;Moskov
679191002997463367;Alucard;Johnson;Kadita;Layla;Yu Zhong
274902793667350619;Akai;Brody;Martis;Valentina;Yu Zhong
627818963594503414;Aldous;Claude;Estes;Karina;Lunox
627315825355644901;Brody;Cecilion;Gusion;Saber;Sun
626719026764962208;Aldous;Brody;Eudora;Martis;Minsitthar
240312664663581987;Bane;Clint;Ling;Nana;Valir
604899901411480529;Claude;Freya;Kadita;Minotaur;Yi Sun-shin
652240783294648026;Chou;Estes;Hanabi;Helcurt;Kadita
651044639197676180;Clint;Franco;Gloo;Martis;Vale
234685707749997478;Balmond;Claude;Gloo;Johnson;Kadita
649689796059116773;Atlas;Badang;Fanny;Kadita;Moskov
277337056576517026;Chou;Claude;Hanzo;Martis;Vexana
276729666596482763;Aldous;Brody;Franco;Lancelot;Pharsa
699799673422716651;Aldous;Arlott;Atlas;Moskov;Zhask
591316599186866842;Claude;Dyrroth;Fanny;Franco;Pharsa
590882773130231232;Edith;Estes;Harley;Melissa;Valentina
270880651284265126;Aamon;Joy;Kaja;Karrie;Lylia
581433359747679814;Atlas;Claude;Harley;Karrie;Minsitthar
580912118221668730;Brody;Edith;Kimmy;Lancelot;Minsitthar
580326422121446509;Claude;Fanny;Franco;Pharsa;Terizla
579794494716803088;Angela;Edith;Lancelot;Lesley;Vale
579189548573160271;Cyclops;Franco;Hanzo;Karrie;Minsitthar
578628857772535562;Beatrix;Edith;Hanzo;Julian;Lolita
666895173054177270;Arlott;Brody;Estes;Kagura;Martis
666062597938813315;Beatrix;Edith;Estes;Julian;Valentina
665542447334495632;Fanny;Julian;Lesley;Minsitthar;Valentina
664971560281510203;Aldous;Kimmy;Lesley;Lylia;Selena
664264793348180936;Grock;Kaja;Ling;Moskov;Yve
598508487564050768;Belerick;Change;Helcurt;Lapu-Lapu;Melissa
599799524668459669;Badang;Harley;Kadita;Lancelot;Moskov
599163886688519676;Cecilion;Edith;Franco;Lancelot;Moskov
218666416039073092;Atlas;Hanabi;Harley;Kagura;Lapu-Lapu
217724349322432679;Dyrroth;Khufra;Lesley;Martis;Valentina
216851839601151021;Franco;Hanabi;Lesley;Minsitthar;Nana
287456274404148172;Fanny;Khufra;Lapu-Lapu;Melissa;Valentina
286464351707135252;Dyrroth;Kagura;Karrie;Minotaur;Terizla
613674399338374482;Hanabi;Hanzo;Kagura;Minotaur;Yu Zhong
612982411387510290;Kaja;Lapu-Lapu;Ling;Lunox;Wanwan
612449796788099163;Hanzo;Kagura;Minotaur;Terizla;Wanwan
611987542342931282;Faramis;Hanabi;Kagura;Minotaur;Yin
611416814203735339;Angela;Lapu-Lapu;Martis;Moskov;Valentina
610517508181492507;Cecilion;Gloo;Karrie;Khufra;Yi Sun-shin
610062851533471147;Kagura;Kaja;Ling;Moskov;Uranus
267040276211580110;Beatrix;Gloo;Lapu-Lapu;Martis;Xavier
649838908733923814;Grock;Kimmy;Lancelot;Lapu-Lapu;Lesley
266306296365456666;Beatrix;Franco;Kagura;Lancelot;Terizla
266050784466048443;Franco;Grock;Lancelot;Melissa;Pharsa
265844720525119683;Arlott;Khufra;Lancelot;Melissa;Xavier
265624070875253803;Brody;Chou;Fredrinn;Martis;Valentina
264332780367771982;Brody;Dyrroth;Helcurt;Minsitthar;Pharsa
263843755391448113;Aamon;Franco;Kagura;Moskov;Thamuz
