BattleId;winpick1;winpick2;winpick3;winpick4;winpick5;losepick1;losepick2;losepick3;losepick4;losepick5
586657504563028368;Beatrix;Dyrroth;Franco;Natan;Vale;Khufra;Lesley;Martis;Valentina;X.Borg
586045579097529652;Chou;Estes;Fredrinn;Wanwan;Yve;Brody;Fanny;Freya;Natalia;Valentina
585249592808560569;Aamon;Belerick;Clint;Gloo;Valentina;Balmond;Cecilion;Faramis;Julian;Lesley
263561391356687814;Arlott;Brody;Khaleed;Lolita;Pharsa;Cyclops;Edith;Floryn;Melissa;Xavier
263282922857082759;Atlas;Fredrinn;Khaleed;Lesley;Valentina;Claude;Franco;Gloo;Ling;Yve
263013413659257454;Aldous;Beatrix;Kadita;Kagura;Valentina;Diggie;Gloo;Lancelot;Lesley;Pharsa
642039948204186225;Beatrix;Cyclops;Fanny;Gloo;Kaja;Benedetta;Hanabi;Khaleed;Khufra;Yve
680077965283955253;Chou;Faramis;Hanabi;Martis;Minotaur;Franco;Khaleed;Lancelot;Lesley;Valentina
241419271577668126;Badang;Fanny;Khufra;Melissa;Zhask;Clint;Diggie;Fredrinn;Khaleed;Pharsa
240827682782315963;Bruno;Harley;Hayabusa;Hilda;Khaleed;Hanzo;Moskov;Ruby;Selena;Valentina
229109367026313127;Gatotkaca;Gloo;Hayabusa;Lesley;Xavier;Kaja;Khaleed;Saber;Wanwan;Yve
228868256152248790;Arlott;Kadita;Terizla;Vale;Wanwan;Julian;Khaleed;Lylia;Natalia;Popol and Kupa
228629224042355954;Angela;Hayabusa;Kagura;Khaleed;Moskov;Guinevere;Kadita;Martis;Melissa;Valentina
631073934624773738;Atlas;Fanny;Kagura;Minsitthar;Natan;Franco;Lancelot;Lapu-Lapu;Moskov;Yve
669451533293795069;Alice;Fanny;Kagura;Khufra;Melissa;Franco;Hayabusa;Khaleed;Lesley;Yve
627829941531127558;Helcurt;Kagura;Khaleed;Lolita;Moskov;Beatrix;Chou;Diggie;Harley;Luo Yi
627272158423362118;Atlas;Balmond;Claude;Kagura;Khaleed;Beatrix;Fredrinn;Lunox;Minsitthar;Zilong
626591522071061706;Hanzo;Kagura;Karrie;Khaleed;Khufra;Argus;Brody;Cecilion;Fredrinn;Lolita
625866690505285431;Khufra;Lancelot;Lesley;Martis;Valentina;Brody;Fanny;Hylos;Khaleed;Lylia
661516362171084770;Atlas;Joy;Julian;Lesley;Xavier;Brody;Hilda;Kaja;Lancelot;Pharsa
616148171651858391;Hanzo;Karrie;Khaleed;Khufra;Valentina;Brody;Gloo;Helcurt;Kaja;Xavier
247441051949371683;Brody;Franco;Freya;Hayabusa;Pharsa;Aurora;Beatrix;Belerick;Lancelot;Yu Zhong
246454081349651541;Aurora;Dyrroth;Franco;Martis;Moskov;Gatotkaca;Lesley;Minsitthar;Silvanna;Valir
244615186806899654;Aldous;Aurora;Beatrix;Claude;Yi Sun-shin;Alucard;Atlas;Chou;Vale;Wanwan
677551558145768971;Beatrix;Change;Edith;Fanny;Floryn;Aurora;Belerick;Khaleed;Lesley;Martis
676704264177481777;Beatrix;Chou;Khufra;Martis;Xavier;Aldous;Aurora;Brody;Hayabusa;Kaja
675313764220431830;Belerick;Chou;Hayabusa;Layla;Xavier;Bane;Melissa;Nana;Saber;Selena
671630288598222271;Bane;Change;Claude;Harley;Miya;Atlas;Cecilion;Hanabi;Jawhead;Ling
671133829033508899;Julian;Khufra;Nana;Wanwan;Yi Sun-shin;Benedetta;Cyclops;Freya;Harley;Miya
615973967777897156;Aurora;Belerick;Brody;Gloo;Yi Sun-shin;Aldous;Clint;Franco;Martis;Valentina
287425127300819788;Beatrix;Diggie;Esmeralda;Hanzo;Yve;Aurora;Karrie;Martis;Minsitthar;X.Borg
286798869529453543;Chou;Jawhead;Kagura;Lesley;Minsitthar;Dyrroth;Hanabi;Hilda;Lancelot;Nana
286053164422618271;Aldous;Aurora;Belerick;Brody;Hilda;Claude;Dyrroth;Edith;Fredrinn;Harley
285491283916052461;Brody;Edith;Hayabusa;Kagura;Lapu-Lapu;Belerick;Dyrroth;Lesley;Minsitthar;Selena
284643341407703466;Argus;Cecilion;Claude;Franco;Harley;Belerick;Brody;Hilda;Martis;Xavier
283789038052789283;Akai;Badang;Kadita;Lesley;Minotaur;Aurora;Barats;Irithel;Minsitthar;Selena
283024830226843539;Aurora;Barats;Irithel;Minsitthar;Selena;Badang;Lancelot;Lesley;Lolita;Pharsa
282018570928996860;Akai;Aurora;Irithel;Minsitthar;Selena;Atlas;Fredrinn;Lesley;Valentina;Yu Zhong
281004146898320563;Aamon;Belerick;Brody;Minsitthar;Selena;Claude;Franco;Sun;Terizla;Xavier
279634056625862122;Aurora;Edith;Hanabi;Hayabusa;Rafaela;Aamon;Dyrroth;Irithel;Nana;Tigreal
649495238335343544;Alpha;Aurora;Melissa;Selena;Yin;Hanzo;Layla;Lolita;Terizla;Xavier
601920362337512020;Argus;Beatrix;Ling;Phoveus;Rafaela;Grock;Joy;Saber;Valentina;Wanwan
679431293531007478;Claude;Franco;Joy;Lapu-Lapu;Valentina;Argus;Edith;Ling;Melissa;Yve
220568300570223467;Argus;Franco;Martis;Pharsa;Wanwan;Beatrix;Fanny;Lolita;Phoveus;Valentina
678660939606857751;Alice;Cecilion;Fanny;Kaja;Wanwan;Argus;Clint;Hanzo;Lolita;Pharsa
678366884670935634;Aamon;Argus;Miya;Rafaela;Vale;Fanny;Kagura;Khufra;Lapu-Lapu;Melissa
678046132218301706;Argus;Estes;Gusion;Lesley;Luo Yi;Atlas;Beatrix;Benedetta;Karina;Pharsa
677680295493961688;Aamon;Argus;Floryn;Karrie;Nana;Angela;Arlott;Beatrix;Martis;Xavier
677294152164246277;Claude;Gloo;Lolita;Pharsa;Valentina;Aamon;Argus;Edith;Karrie;Xavier
676574002112822062;Argus;Claude;Gusion;Khufra;Zhask;Hilda;Lancelot;Lesley;Minsitthar;Pharsa
217903264773109454;Argus;Chou;Hayabusa;Miya;Valentina;Clint;Lancelot;Layla;Vexana;Yi Sun-shin
217313020302520664;Argus;Kaja;Natalia;Wanwan;Xavier;Edith;Franco;Kadita;Ling;Moskov
287800640585000357;Argus;Brody;Martis;Nana;Paquito;Dyrroth;Hylos;Minsitthar;Moskov;Vale
647198783745194887;Brody;Estes;Hylos;Martis;Vale;Argus;Ling;Luo Yi;Minotaur;Wanwan
658834601769333172;Argus;Diggie;Selena;Sun;Wanwan;Beatrix;Benedetta;Edith;Esmeralda;Yve
645241330925201741;Argus;Atlas;Brody;Ling;Xavier;Chou;Claude;Khufra;Nana;Pharsa
644525295452447421;Argus;Claude;Kadita;Luo Yi;Martis;Chou;Edith;Melissa;Terizla;Valentina
656283910886546751;Argus;Beatrix;Harley;Jawhead;Natalia;Aldous;Bruno;Lylia;Paquito;Selena
235066078641853494;Atlas;Beatrix;Lapu-Lapu;Leomord;Valentina;Argus;Estes;Harley;Lesley;Pharsa
684440101571314202;Argus;Beatrix;Franco;Helcurt;Luo Yi;Alice;Irithel;Khufra;Lancelot;Valentina
224855562694737089;Kadita;Lesley;Ling;Pharsa;Terizla;Argus;Atlas;Irithel;Jawhead;Vale
681595256970552810;Aldous;Hanzo;Johnson;Kadita;Wanwan;Akai;Badang;Moskov;Natalia;Pharsa
681238212044267823;Aldous;Hanzo;Johnson;Kadita;Wanwan;Argus;Beatrix;Franco;Martis;Valentina
680797252046953316;Aldous;Hanzo;Johnson;Kadita;Wanwan;Brody;Estes;Ling;Minsitthar;Valentina
680322112699897168;Aldous;Grock;Hanzo;Kadita;Wanwan;Johnson;Khufra;Lapu-Lapu;Moskov;Pharsa
679854442300968817;Aldous;Hanzo;Johnson;Kadita;Wanwan;Beatrix;Chou;Fredrinn;Masha;Valentina
679565348052274144;Aldous;Hanzo;Johnson;Julian;Wanwan;Khufra;Martis;Melissa;X.Borg;Xavier
678981060701324444;Aldous;Hanzo;Johnson;Kadita;Wanwan;Harley;Lapu-Lapu;Lesley;Minsitthar;Valentina
225669678042790898;Badang;Hanzo;Johnson;Kadita;Melissa;Akai;Aldous;Claude;Lapu-Lapu;Pharsa
225152323462182982;Aldous;Hanzo;Johnson;Kadita;Wanwan;Benedetta;Grock;Ling;Melissa;Pharsa
224485607098889190;Aldous;Hanzo;Johnson;Kadita;Wanwan;Akai;Claude;Khufra;Ling;Pharsa
223006523441359660;Aamon;Aldous;Grock;Kadita;Wanwan;Claude;Harith;Kaja;Minsitthar;Pharsa
221948514082563454;Claude;Kaja;Karina;Lapu-Lapu;Valentina;Aldous;Hanzo;Johnson;Kadita;Wanwan
221206558482178481;Aldous;Hanzo;Johnson;Kadita;Wanwan;Arlott;Claude;Diggie;Ling;Valentina
664641663843503802;Aldous;Hanzo;Johnson;Kadita;Wanwan;Claude;Fanny;Grock;Kaja;Pharsa
663923850254289158;Aldous;Hanzo;Johnson;Kadita;Wanwan;Akai;Lapu-Lapu;Melissa;Natalia;Valentina
663378668580570203;Aldous;Claude;Hanzo;Johnson;Kadita;Akai;Lesley;Minsitthar;Natalia;Valentina
662838061047021392;Aldous;Hanzo;Johnson;Kadita;Wanwan;Helcurt;Kaja;Karrie;Lapu-Lapu;Valentina
662191548209887334;Faramis;Karrie;Lancelot;Lapu-Lapu;Selena;Aldous;Hanzo;Khufra;Melissa;Valentina
242371349863076174;Brody;Estes;Fanny;Minsitthar;Xavier;Beatrix;Franco;Harley;Lapu-Lapu;Valentina
241352635160070559;Brody;Floryn;Kadita;Lapu-Lapu;Paquito;Estes;Fanny;Grock;Moskov;Yve
240810532977903002;Beatrix;Estes;Gloo;Hayabusa;Pharsa;Faramis;Floryn;Freya;Ling;Wanwan
240142601138864302;Gloo;Ling;Minotaur;Moskov;Xavier;Faramis;Hanzo;Melissa;Valentina;Yu Zhong
239364486208813816;Brody;Estes;Julian;Khaleed;Pharsa;Fanny;Grock;Minsitthar;Wanwan;Yve
238710345509762601;Claude;Fredrinn;Gloo;Kaja;Pharsa;Alice;Estes;Lapu-Lapu;Nana;Wanwan
238117128921805261;Estes;Gloo;Moskov;Xavier;Yi Sun-shin;Beatrix;Hayabusa;Johnson;Minsitthar;Valentina
236962839281133802;Benedetta;Ling;Lolita;Luo Yi;Melissa;Grock;Hanabi;Valentina;Yi Sun-shin;Yu Zhong
236179905397777030;Brody;Esmeralda;Fanny;Grock;Kagura;Beatrix;Hanzo;Khufra;Nana;Ruby
235557182384495950;Alice;Joy;Khufra;Lapu-Lapu;Wanwan;Beatrix;Dyrroth;Estes;Pharsa;Yi Sun-shin
669932930408201313;Alice;Franco;Lesley;Minsitthar;Xavier;Aamon;Chou;Estes;Moskov;Odette
669510932691498911;Brody;Estes;Faramis;Lancelot;Lapu-Lapu;Angela;Fredrinn;Gloo;Irithel;Yve
668911621544948080;Clint;Estes;Terizla;Vale;Yi Sun-shin;Gord;Gusion;Khufra;Lesley;Minsitthar
677770446858411939;Faramis;Hanabi;Hilda;Julian;Ruby;Beatrix;Layla;Silvanna;Valentina;Yin
591345521495380110;Arlott;Franco;Harley;Nana;Wanwan;Beatrix;Esmeralda;Tigreal;Xavier;Yin
590680523119004760;Franco;Harley;Kagura;Melissa;Yin;Beatrix;Joy;Martis;Pharsa;Selena
589994896014706718;Badang;Beatrix;Cyclops;Kadita;Lancelot;Brody;Paquito;Pharsa;Thamuz;Valir
589145188274799350;Faramis;Hanabi;Harley;Julian;Lapu-Lapu;Claude;Gloo;Pharsa;Tigreal;Yi Sun-shin
272722968914605620;Aldous;Brody;Harley;Johnson;Luo Yi;Clint;Edith;Franco;Lancelot;Xavier
271639378730594422;Diggie;Granger;Hilda;Moskov;Valentina;Beatrix;Dyrroth;Lolita;Martis;Yve
678752980756738699;Arlott;Gatotkaca;Harley;Martis;Miya;Badang;Brody;Fredrinn;Tigreal;Zhask
678248034336648438;Atlas;Brody;Faramis;Joy;Yi Sun-shin;Clint;Fanny;Franco;Jawhead;Lylia
669731874397852884;Brody;Chou;Harley;Martis;Vexana;Franco;Fredrinn;Joy;Moskov;Yve
669410825592475754;Claude;Harley;Joy;Minsitthar;Vale;Brody;Esmeralda;Franco;Martis;Yve
668919043247147630;Akai;Clint;Edith;Harley;Vale;Cecilion;Julian;Moskov;Natalia;Yi Sun-shin
668302169979323331;Claude;Lolita;Martis;Natan;Xavier;Aldous;Beatrix;Cecilion;Franco;Harley
667703455833226756;Kimmy;Lapu-Lapu;Martis;Natalia;Odette;Cyclops;Hanabi;Harley;Julian;Minsitthar
667124386867542265;Joy;Kimmy;Selena;Terizla;Vale;Brody;Harley;Lapu-Lapu;Lunox;Minsitthar
666573011850982549;Lancelot;Moskov;Natalia;Terizla;Valentina;Beatrix;Franco;Grock;Harley;Ling
665881449101881211;Aamon;Claude;Franco;Pharsa;Uranus;Brody;Hilda;Paquito;Selena;Xavier
665358412279540640;Claude;Esmeralda;Harley;Kagura;Kaja;Chou;Cyclops;Hanabi;Sun;Xavier
664644038959130214;Akai;Brody;Grock;Kadita;Yu Zhong;Claude;Floryn;Harley;Roger;Valentina
663950491935138195;Argus;Atlas;Natan;Xavier;Yin;Brody;Gord;Harley;Lolita;Terizla
588805847204717070;Aldous;Clint;Hayabusa;Julian;Tigreal;Brody;Khufra;Nana;Roger;Xavier
703610993041690411;Brody;Edith;Kaja;Pharsa;Yin;Beatrix;Franco;Lancelot;Terizla;Valentina
703189493541194445;Brody;Cecilion;Chou;Grock;Martis;Estes;Freya;Lancelot;Lesley;Xavier
702529013470413808;Clint;Fanny;Franco;Minsitthar;Valentina;Brody;Edith;Hanzo;Khufra;Lunox
645407404427479154;Brody;Change;Leomord;Martis;Nana;Fredrinn;Grock;Lesley;Lunox;Pharsa
638640863841244491;Arlott;Atlas;Harley;Miya;Nana;Angela;Beatrix;Benedetta;Granger;Pharsa
638192821442859198;Arlott;Beatrix;Minotaur;Minsitthar;Xavier;Franco;Hilda;Lesley;Martis;Vale
637661765916576396;Brody;Dyrroth;Johnson;Nana;Saber;Fanny;Franco;Natan;Valir;Zilong
615282727151546395;Arlott;Beatrix;Franco;Julian;Lancelot;Bruno;Chou;Estes;Martis;Valentina
610894846828024422;Clint;Dyrroth;Martis;Minotaur;Valentina;Angela;Argus;Arlott;Moskov;Yve
610135032753622102;Aldous;Alucard;Hanabi;Lylia;Natalia;Alice;Alpha;Angela;Kimmy;Miya
609474080236439147;Arlott;Claude;Saber;Uranus;Zhask;Joy;Lesley;Pharsa;Selena;X.Borg
606620241971963491;Aldous;Diggie;Karina;Lunox;Miya;Brody;Eudora;Fredrinn;Kaja;Ruby
606264030269334145;Chou;Gloo;Hanabi;Ling;Valir;Arlott;Claude;Khufra;Lancelot;Zhask
605728705545559211;Brody;Fanny;Franco;Vale;X.Borg;Aamon;Atlas;Badang;Clint;Zhask
605252118794524554;Brody;Kadita;Minsitthar;Natalia;Sun;Franco;Hanabi;Lapu-Lapu;Saber;Valentina
604700838267244993;Claude;Harley;Joy;Kaja;Yin;Aldous;Atlas;Brody;Kagura;Martis
603306103472440327;Aulus;Diggie;Gloo;Karrie;Xavier;Atlas;Irithel;Kimmy;Minsitthar;Vexana
267470464431101934;Baxia;Lapu-Lapu;Popol and Kupa;Saber;Valentina;Beatrix;Gloo;Harley;Minotaur;Paquito
586773438615716916;Alice;Baxia;Natalia;Popol and Kupa;Xavier;Aamon;Chou;Khufra;Moskov;Valentina
586537339968487221;Dyrroth;Faramis;Karina;Lesley;Luo Yi;Baxia;Claude;Jawhead;Kadita;Valentina
586331898797816391;Alice;Baxia;Beatrix;Selena;Xavier;Aamon;Chou;Eudora;Lesley;Lolita
585895040494267496;Arlott;Chou;Claude;Franco;Lunox;Bane;Hanabi;Kaja;Lancelot;Nana
584979795848380823;Beatrix;Chou;Edith;Martis;Xavier;Brody;Kaja;Pharsa;X.Borg;Yi Sun-shin
584807662149090174;Beatrix;Cecilion;Chou;Franco;Martis;Aurora;Khaleed;Lancelot;Lolita;Melissa
247001908723726666;Baxia;Brody;Chou;Selena;Valentina;Aldous;Bane;Franco;Irithel;Vexana
643424851818851105;Baxia;Edith;Melissa;Natalia;Pharsa;Clint;Kagura;Khufra;Lancelot;Paquito
675724496238401348;Beatrix;Gloo;Julian;Yi Sun-shin;Yve;Cecilion;Claude;Esmeralda;Kaja;Martis
231006424016202383;Baxia;Hayabusa;Lapu-Lapu;Lylia;Wanwan;Arlott;Granger;Harley;Kimmy;Rafaela
283456805153071680;Baxia;Brody;Franco;Lapu-Lapu;Valentina;Fanny;Karrie;Minsitthar;Vexana;Yu Zhong
282978844012502482;Aurora;Franco;Freya;Moskov;Paquito;Baxia;Esmeralda;Jawhead;Miya;Valentina
282341586829891597;Baxia;Claude;Franco;Hanabi;Xavier;Aamon;Bane;Joy;Minsitthar;Moskov
280682866165205382;Irithel;Lolita;Minsitthar;Phoveus;Vale;Edith;Kaja;Roger;Valentina;Wanwan
279999588408017898;Brody;Martis;Minsitthar;Rafaela;Valentina;Aamon;Diggie;Irithel;Valir;Xavier
279343068297084595;Baxia;Claude;Dyrroth;Estes;Valentina;Cecilion;Jawhead;Kaja;Layla;Masha
611973102662882089;Alice;Kaja;Lesley;Martis;Xavier;Dyrroth;Gloo;Kadita;Khufra;Moskov
271023239903346490;Baxia;Hanabi;Mathilda;Minsitthar;Yve;Barats;Brody;Change;Chou;Hilda
270182139277899618;Aldous;Baxia;Claude;Franco;Valentina;Edith;Leomord;Melissa;Pharsa;Yu Zhong
683075431549778284;Kaja;Lancelot;Lunox;Moskov;Uranus;Claude;Faramis;Harith;Lapu-Lapu;Zhask
642636347362910625;Alice;Angela;Karrie;Uranus;Yve;Diggie;Grock;Lesley;Martis;Valentina
636425377976277475;Brody;Ling;Minsitthar;Uranus;Xavier;Kadita;Kimmy;Melissa;Thamuz;Yve
635925924819358575;Clint;Lancelot;Luo Yi;Minsitthar;Natalia;Beatrix;Hayabusa;Kadita;Lapu-Lapu;Xavier
635522721879543300;Aurora;Clint;Eudora;Guinevere;Ling;Gusion;Hayabusa;Hilda;Valentina;Wanwan
667950652677236904;Cyclops;Lancelot;Moskov;Selena;Uranus;Beatrix;Khufra;Lapu-Lapu;Wanwan;Yve
619914372639157590;Luo Yi;Martis;Minotaur;Popol and Kupa;Uranus;Estes;Lancelot;Terizla;Valentina;Wanwan
284195286124915042;Estes;Lancelot;Lunox;Melissa;Uranus;Claude;Hayabusa;Kadita;Kaja;Terizla
608262560156771297;Cecilion;Hanabi;Martis;Minsitthar;Uranus;Franco;Fredrinn;Jawhead;Kimmy;Xavier
604067708548411465;Esmeralda;Moskov;Natalia;Vexana;Yi Sun-shin;Alucard;Cecilion;Faramis;Lesley;Minsitthar
262755221700078307;Bane;Cyclops;Edith;Melissa;Ruby;Brody;Kagura;Khufra;Lapu-Lapu;Yi Sun-shin
718774422324896965;Cecilion;Hanabi;Harley;Lapu-Lapu;Selena;Atlas;Claude;Martis;Terizla;Yve
238874516339349888;Joy;Kaja;Karrie;Lancelot;Pharsa;Estes;Fredrinn;Popol and Kupa;Uranus;Vale
587292081686046268;Kagura;Khufra;Ling;Melissa;Uranus;Beatrix;Hanzo;Kaja;Lapu-Lapu;Pharsa
586655902540226957;Fanny;Khufra;Pharsa;Uranus;Wanwan;Fredrinn;Hayabusa;Kadita;Melissa;Yve
281858974239411704;Atlas;Brody;Cecilion;Julian;Uranus;Franco;Fredrinn;Joy;Kagura;Moskov
